"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Int)","SElam(Int)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(Whitebirch_150)","SElam(Whitebirch_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","125","~Julian + 1 ~ Blackspruce_150 + Whitebirch_150 + 1",-0.972576696984779,0.393737413440855,1.11882812351778,1.32171043508164,NA,NA,NA,NA,0.332431675105123,0.131197975823696,-5.04295677262916,1.22672244406721,0.7832265118321,0.349212265612505,0,934.422945999336,54.3137705173263,5,98,118.627541034653,0,0.391575878000632,NA,0.391575878000632,0.141375493847916
"2","12","~Julian + 1 ~ Blackspruce_150 + 1",-0.909570354355985,0.371373742877172,3.00803413965292,1.49246014872687,NA,NA,NA,NA,NA,NA,-6.78583951040966,1.46526679759018,0.612955385201573,0.314080167622462,0,169.712214745122,56.1523766197558,4,98,120.304753239512,1.6772122048591,0.169283226353712,NA,0.560859104354344,0.108545613689073
"3","123","~Julian + 1 ~ Blackspruce_150 + S500.VPD__150.200cm_Grid.1x1m.mean + 1",-0.84859500056201,0.386151743732976,2.64752699166832,1.78914453170793,-0.172281463472379,0.297242222075773,NA,NA,NA,NA,-6.43767152117227,1.7512284017284,0.659620913191822,0.327362714567267,0,256.911261769437,55.9865598310067,5,98,121.973119662013,3.34557862736079,0.0735076877884554,NA,0.634366792142799,0.111557211160901
"4","124","~Julian + 1 ~ Blackspruce_150 + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-0.914483899306568,0.371764361993758,2.98022594491066,1.53539028372578,NA,NA,0.0447171462292646,0.274103245647683,NA,NA,-6.75727471776743,1.50898889634908,0.602335767884831,0.319861270784526,0,180.944221665958,56.1388093225747,5,98,122.277618645149,3.65007761049677,0.0631264908626233,NA,0.697493283005423,0.108792408634687
"5","2","~1 ~ Blackspruce_150 + 1",-0.857243744542722,0.374877293530881,3.04242991243055,2.68460109596642,NA,NA,NA,NA,NA,NA,-6.66490929892569,2.66848004752423,NA,NA,0,504.148040846349,58.384739632629,3,98,122.769479265258,4.14193823060552,0.0493634462030533,NA,0.746856729208476,0.0669930035203113
"6","25","~1 ~ Blackspruce_150 + Whitebirch_150 + 1",-0.887516321845542,0.389147876700551,2.16932315001052,2.69024569819833,NA,NA,NA,NA,0.209090255768467,0.12175136468925,-5.85153946434711,2.67965689382833,NA,NA,0,1268.25060950277,57.4577502294904,4,98,122.915500458981,4.28795942432816,0.0458878142939109,NA,0.792744543502387,0.0844778587981454
"7","134","~Julian + 1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",NA,NA,0.764061611267731,2.73674530898556,-1.44342596923882,0.574269503968345,1.06528255209774,0.503724944970977,NA,NA,-4.47435321632447,2.7540896786099,0.763414240002261,0.347895521038917,0,471.743928239481,56.8562011126548,5,98,123.71240222531,5.08486119065708,0.0308072088098735,NA,0.82355175231226,0.0956485689109532
"8","245","~1 ~ Blackspruce_150 + S500.VPD__50.100cm_Grid.1x1m.mean + Whitebirch_150 + 1",-0.939528399806111,0.391682451998296,2.10391337964006,1.64511982587558,NA,NA,0.29282552350534,0.280750506918568,0.268312402845061,0.131608637015397,-5.82227490297219,1.6144661042799,NA,NA,0,712.400934474594,56.8957855859209,5,98,123.791571171842,5.16403013718916,0.0296115427058681,NA,0.853163295018128,0.0949176966926822
"9","24","~1 ~ Blackspruce_150 + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-0.876304824056979,0.372992416006358,2.8500922043449,1.96214527193242,NA,NA,0.155302651017534,0.266157398357986,NA,NA,-6.4789514225352,1.93221659112785,NA,NA,0,268.169082009463,58.2114982355009,4,98,124.422996471002,5.79545543634933,0.021594779421232,NA,0.87475807443936,0.0702858614361095
"10","23","~1 ~ Blackspruce_150 + S500.VPD__150.200cm_Grid.1x1m.mean + 1",-0.854800683855174,0.389260648357188,3.03449453740946,2.91393513636419,-0.00712145167176875,0.290156279660962,NA,NA,NA,NA,-6.65737396220372,2.89938865193481,NA,NA,0,628.095680019144,58.3844333320322,4,98,124.768866664064,6.14132562941184,0.0181653602121,NA,0.892923434651461,0.0669988357592229
