SS,ID,EASTING,NORTHING
BG_15_1,1,489545,6131573
BG_15_10,2,494935,6131575
BG_15_100,3,494943,6136970
BG_15_11,4,489535,6132175
BG_15_12,5,490129,6132179
BG_15_13,6,490733,6132185
BG_15_14,7,491338,6132174
BG_15_15,8,491935,6132175
BG_15_16,9,492535,6132175
BG_15_17,10,493135,6132175
BG_15_18,11,493735,6132175
BG_15_19,12,494335,6132175
BG_15_2,13,490145,6131573
BG_15_20,14,494935,6132175
BG_15_21,15,489525,6132771
BG_15_22,16,490135,6132775
BG_15_23,17,490735,6132775
BG_15_24,18,491336,6132774
BG_15_26,19,492534,6132776
BG_15_27,20,493135,6132775
BG_15_28,21,493708,6132771
BG_15_29,22,494335,6132775
BG_15_3,23,490745,6131568
BG_15_30,24,494935,6132775
BG_15_31,25,489535,6133375
BG_15_32,26,490136,6133380
BG_15_33,27,490746,6133387
BG_15_34,28,491335,6133375
BG_15_35,29,491922,6133377
BG_15_36,30,492530,6133361
BG_15_37,31,493135,6133376
BG_15_38,32,493726,6133369
BG_15_39,33,494335,6133375
BG_15_4,34,491333,6131576
BG_15_40,35,494935,6133375
BG_15_41,36,489543,6133930
BG_15_42,37,490135,6133975
BG_15_43,38,490735,6133974
BG_15_44,39,491343,6133986
BG_15_45,40,491935,6133975
BG_15_46,41,492535,6133975
BG_15_47,42,493146,6133977
BG_15_48,43,493736,6133975
BG_15_49,44,494335,6133975
BG_15_5,45,491926,6131646
BG_15_50,46,494935,6133975
BG_15_51,47,489535,6134575
BG_15_52,48,490135,6134575
BG_15_53,49,490744,6134585
BG_15_54,50,491332,6134569
BG_15_55,51,491935,6134575
BG_15_56,52,492535,6134575
BG_15_57,53,493164,6134576
BG_15_58,54,493735,6134575
BG_15_59,55,494335.3969,6134575.512
BG_15_6,56,492535,6131575
BG_15_60,57,494923,6134567
BG_15_61,58,489541,6135181
BG_15_62,59,490135,6135183
BG_15_63,60,490735,6135175
BG_15_64,61,491335,6135175
BG_15_65,62,491935,6135175
BG_15_66,63,492535,6135175
BG_15_67,64,493135,6135175
BG_15_68,65,493735,6135175
BG_15_69,66,494335,6135185
BG_15_7,67,493135,6131575
BG_15_70,68,494935,6135175
BG_15_71,69,489540,6135772
BG_15_72,70,490141,6135777
BG_15_73,71,490735,6135775
BG_15_74,72,491335,6135775
BG_15_75,73,491935,6135775
BG_15_77,74,493135,6135775
BG_15_78,75,493735,6135776
BG_15_79,76,494335,6135775
BG_15_8,77,493735,6131575
BG_15_80,78,494935,6135775
BG_15_81,79,489533,6136376
BG_15_82,80,490138,6136382
BG_15_83,81,490739,6136378
BG_15_84,82,491337,6136374
BG_15_85,83,491935,6136375
BG_15_86,84,492535,6136375
BG_15_87,85,493131,6136379
BG_15_88,86,493735,6136375
BG_15_89,87,494332,6136378
BG_15_9,88,494335,6131575
BG_15_90,89,494936,6136375
BG_15_91,90,489534,6136967
BG_15_92,91,490132,6136975
BG_15_93,92,490737,6136969
BG_15_94,93,491332,6136867
BG_15_95,94,491928,6136993
BG_15_96,95,492535,6136975
BG_15_97,96,493135,6136975
BG_15_98,97,493733,6136982
BG_15_99,98,494335,6136975
